fips,county_name,state_name,category,topic_area,year,variable_name,value
1001,Autauga County,Alabama,Food Access,Food Insecurity,2018,food_banks,0
1001,Autauga County,Alabama,Food Access,Food Insecurity,2019,food_desert_1and10,5
1001,Autauga County,Alabama,Food Access,Food Insecurity,2019,food_desert_half_and10,5
1001,Autauga County,Alabama,Food Access,Food Insecurity,2019,food_desert_1and20,3
1001,Autauga County,Alabama,Food Access,Food Insecurity,2019,food_desert_vehicle,1
1001,Autauga County,Alabama,Community Characteristics,Population,2020,rwj_food_environment_index,7.2
1001,Autauga County,Alabama,Food Retail,General DTC,2017,direct_sales_per_capita,2.900691842
1003,Baldwin County,Alabama,Food Access,Food Insecurity,2018,food_banks,0
1003,Baldwin County,Alabama,Food Access,Food Insecurity,2019,food_desert_1and10,4
1003,Baldwin County,Alabama,Food Access,Food Insecurity,2019,food_desert_half_and10,4
1003,Baldwin County,Alabama,Food Access,Food Insecurity,2019,food_desert_1and20,3
1003,Baldwin County,Alabama,Food Access,Food Insecurity,2019,food_desert_vehicle,3
1003,Baldwin County,Alabama,Community Characteristics,Population,2020,rwj_food_environment_index,8
1003,Baldwin County,Alabama,Food Retail,General DTC,2017,direct_sales_per_capita,5.45553737
1003,Baldwin County,Alabama,Food Retail,General Intermediated,2017,intermediated_sales_per_capita,0.108170138
1005,Barbour County,Alabama,Food Access,Food Insecurity,2018,food_banks,0
1005,Barbour County,Alabama,Food Access,Food Insecurity,2019,food_desert_1and10,4
1005,Barbour County,Alabama,Food Access,Food Insecurity,2019,food_desert_half_and10,5
1005,Barbour County,Alabama,Food Access,Food Insecurity,2019,food_desert_1and20,1
1005,Barbour County,Alabama,Food Access,Food Insecurity,2019,food_desert_vehicle,3
1005,Barbour County,Alabama,Community Characteristics,Population,2020,rwj_food_environment_index,5.6
1005,Barbour County,Alabama,Food Retail,General DTC,2017,direct_sales_per_capita,1.30589632
1005,Barbour County,Alabama,Food Retail,General Intermediated,2017,intermediated_sales_per_capita,3.71982588
1007,Bibb County,Alabama,Food Access,Food Insecurity,2018,food_banks,0
1007,Bibb County,Alabama,Food Access,Food Insecurity,2019,food_desert_1and10,0
1007,Bibb County,Alabama,Food Access,Food Insecurity,2019,food_desert_half_and10,0
1007,Bibb County,Alabama,Food Access,Food Insecurity,2019,food_desert_1and20,0
1007,Bibb County,Alabama,Food Access,Food Insecurity,2019,food_desert_vehicle,1
1007,Bibb County,Alabama,Community Characteristics,Population,2020,rwj_food_environment_index,7.8
1007,Bibb County,Alabama,Food Retail,General DTC,2017,direct_sales_per_capita,0.441150521
1009,Blount County,Alabama,Food Access,Food Insecurity,2018,food_banks,0
1009,Blount County,Alabama,Food Access,Food Insecurity,2019,food_desert_1and10,0
1009,Blount County,Alabama,Food Access,Food Insecurity,2019,food_desert_half_and10,0
1009,Blount County,Alabama,Food Access,Food Insecurity,2019,food_desert_1and20,0
1009,Blount County,Alabama,Food Access,Food Insecurity,2019,food_desert_vehicle,2
1009,Blount County,Alabama,Community Characteristics,Population,2020,rwj_food_environment_index,8.4
